Sector (°),RMSE (m),Bias (m),N points
0–10,15.74,2.66,6
10–20,15.65,4.36,5
20–30,15.6,5.04,5
30–40,15.82,4.68,6
40–50,16.29,1.9,6
50–60,16.7,2.12,6
60–70,16.38,1.53,5
70–80,15.61,0.57,6
80–90,15.23,-0.67,6
90–100,15.46,-0.79,5
100–110,15.93,-0.15,5
110–120,16.83,-1.14,6
120–130,17.65,-2.59,6
130–140,18.39,-3.42,5
140–150,18.48,-3.41,6
150–160,18.14,-2.35,5
160–170,17.99,-0.02,6
170–180,18.07,0.55,5
180–190,18.36,2.92,7
190–200,17.97,3.43,6
200–210,16.95,3.04,5
210–220,16.04,2.95,6
220–230,15.36,2.44,5
230–240,15.09,2.47,6
240–250,15.3,1.85,5
250–260,15.69,1.65,5
260–270,15.96,1.06,5
270–280,16.04,0.48,6
280–290,15.49,-0.53,6
290–300,15.01,-1.51,6
300–310,15.37,-1.9,6
310–320,15.48,-2.64,5
320–330,15.27,-2.4,6
330–340,15.3,-1.94,5
340–350,15.43,-0.74,5
350–360,15.6,2.01,5
