Sector (°),RMSE (m),Bias (m),N points
0–10,33.04,6.62,8
10–20,34.92,13.75,6
20–30,34.79,26.03,6
30–40,35.1,14.68,6
40–50,36.34,-0.2,6
50–60,39.1,-2.48,6
60–70,40.91,-4.28,6
70–80,41.33,-4.18,6
80–90,42.82,1.33,6
90–100,42.29,-3.49,5
100–110,41.66,-5.09,5
110–120,42.26,27.24,4
120–130,42.89,32.01,4
130–140,42.39,10.04,6
140–150,44.81,3.56,7
150–160,45.46,12.13,6
160–170,43.1,-11.49,6
170–180,38.6,-2.34,6
180–190,43.06,11.05,5
190–200,40.58,9.13,5
200–210,36.38,11.92,4
210–220,35.91,21.87,5
220–230,33.28,-0.06,5
230–240,33.2,1.61,7
240–250,35.42,-7.45,6
250–260,31.43,5.99,6
260–270,32.1,4.98,6
270–280,32.85,-5.06,6
280–290,34.74,-2.36,8
290–300,35.54,-3.69,6
300–310,38.84,-3.57,5
310–320,38.45,-4.38,5
320–330,35.95,-3.79,4
330–340,35.52,-4.88,3
340–350,36.94,1.03,4
350–360,36.34,6.44,5
